Channel,Quality Axis 1,Quality Axis 2,Factor Plane Quality
Channel 61,0.018848066781533765,2.503702485549744e-08,0.01884809181855862
Channel 62,0.010341208241493044,0.0010302240432207817,0.011371432284713826
Channel 63,0.00264146639467888,0.0022301460701623504,0.004871612464841231
Channel 64,0.006127776576039469,0.006062395278923159,0.012190171854962628
Channel 65,0.001679097732779602,0.001394101955802034,0.0030731996885816357
Channel 66,0.0063162828198600526,0.0015119547159933497,0.007828237535853402
Channel 67,0.003454898974241361,0.00454147153993987,0.007996370514181231
Channel 68,0.012844811361623408,0.0018195094991048032,0.01466432086072821
Channel 69,0.021197502432749926,0.0007004664516771167,0.021897968884427042
Channel 70,0.0011901533227366176,0.0031761113775368604,0.004366264700273478
Channel 71,0.04531508081917125,3.7511571940085624e-05,0.045352592391111335
Channel 72,0.005819822358606007,0.063793681454523,0.069613503813129
Channel 73,0.03367538067625327,0.003968642361444121,0.03764402303769739
Channel 74,0.0021127645839337694,0.014611936894669216,0.016724701478602985
Channel 75,0.004393006950526809,0.00836779775764926,0.01276080470817607
Channel 76,0.00016417784465596127,0.03773862097852809,0.03790279882318406
Channel 77,0.004064304148970204,0.015301838964554844,0.019366143113525046
Channel 78,0.0046221567403262115,0.008950908788176714,0.013573065528502924
Channel 79,0.03257096776805551,8.452950917391198e-05,0.03265549727722942
Channel 80,0.0063053507889086315,0.012417398420571383,0.018722749209480014
Channel 81,0.0006868954609737626,0.03870214920412221,0.039389044665095976
Channel 82,0.0001254381215880978,0.0031355887233001124,0.0032610268448882104
Channel 83,0.002846945805325615,0.025541955578369285,0.0283889013836949
Channel 84,0.010418534340119079,0.030053819749390007,0.04047235408950908
Channel 85,0.0026010757107871895,0.003090555663132297,0.0056916313739194865
Channel 86,0.03750648324312178,0.008738917476768556,0.046245400719890334
Channel 87,0.0007491149479163661,0.0022720124787351547,0.0030211274266515207
Channel 88,0.004305452536910486,0.0009678683855036403,0.005273320922414127
Channel 89,0.025164651638636442,1.4526327520864752e-06,0.025166104271388528
Channel 90,0.024607491705046457,0.00019133943595105643,0.024798831140997513
Channel 91,0.004418075707556747,0.024576352576486476,0.028994428284043222
Channel 92,3.902842271971458e-05,0.0037705378906614678,0.0038095663133811825
Channel 93,0.0005914998359244797,0.0004125846335905374,0.001004084469515017
Channel 94,1.0375189200298802e-06,0.01217000641852746,0.012171043937447489
Channel 95,0.02629842877026601,0.0002507419945500599,0.02654917076481607
Channel 96,0.011007573578134186,5.532349270565259e-05,0.011062897070839838
Channel 97,0.0037263410487469524,0.0003127468876417914,0.004039087936388744
Channel 98,2.457098573815553e-05,0.014017023413059408,0.014041594398797564
Channel 99,0.014318711113872118,0.021800715536434572,0.036119426650306694
Channel 100,0.04655265137783898,0.020355596903055922,0.06690824828089491
